"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","busi","work","american","presid","know","must","govern","nation","may","law","parti","world","freedom","year","will"
"2","increas","famili","america","day","want","new","state","right","shall","congress","peopl","peac","hope","time","everi"
"3","industri","job","let","friend","just","can","power","peopl","duti","execut","one","nation","faith","now","can"
"4","product","help","live","man","thing","chang","unit","free","public","administr","republican","war","call","countri","make"
"5","system","tax","futur","thank","well","need","union","men","upon","may","polit","forc","god","one","countri"
"6","upon","children","see","offic","say","respons","constitut","citizen","countri","without","made","polici","purpos","last","believ"
"7","labor","care","ask","accept","like","econom","general","equal","servic","shall","democrat","strength","caus","mani","never"
"8","trade","economi","promis","proud","think","great","interest","justic","trust","act","differ","defens","yet","first","good"
"9","public","pay","better","convent","way","problem","form","life","confid","effect","elect","militari","peopl","histori","alway"
"10","import","school","togeth","said","dont","meet","principl","secur","great","legisl","great","arm","love","ever","take"
"11","polici","valu","world","hous","get","home","limit","among","honor","constitut","question","strong","spirit","end","give"
"12","use","home","today","first","back","face","whole","civil","patriot","order","person","use","great","million","now"
"13","protect","educ","peopl","word","that","old","feder","individu","best","subject","decis","danger","heart","much","support"
"14","tariff","creat","build","great","tell","opportun","part","women","interest","enforc","fact","also","land","still","serv"
"15","develop","save","look","tonight","ive","time","becom","full","experi","made","choic","secur","speak","sinc","lead"
"16","revenu","make","tonight","senat","put","fail","preserv","without","high","practic","vote","intern","fear","past","pledg"
"17","market","mean","come","side","good","leadership","within","progress","present","secur","truth","nuclear","human","administr","whether"
"18","benefit","plan","centuri","next","even","way","citizen","everi","spirit","respect","mani","europ","liberti","ago","sure"
"19","price","health","stand","unit","talk","energi","institut","human","part","pass","two","maintain","ideal","four","continu"
"20","larg","need","say","win","someth","turn","local","moral","promot","rule","now","threaten","life","immigr","place"
